Time, GazeX, GazeY, GazeZ, CamX, CamY, CamZ
4/20/2019 5:43:20 PM,445.666,5.982587,456.008,433.0326,1.828512,445.1026
4/20/2019 5:43:21 PM,433.9249,1.93234,444.9949,433.3363,1.820701,444.7567
4/20/2019 5:43:21 PM,484.939,13.81366,456.0189,432.9433,1.799729,444.223
4/20/2019 5:43:22 PM,461.8202,6.106506,456.0108,432.423,1.805382,443.8592
4/20/2019 5:43:23 PM,434.7659,1.833795,444.9949,432.1418,1.797241,443.5193
4/20/2019 5:43:23 PM,443.4821,0.009963989,447.8957,431.8442,1.770622,443.9217
4/20/2019 5:43:24 PM,434.3462,0.9079092,444.875,431.7268,1.765009,444.0348
4/20/2019 5:43:24 PM,433.4102,1.178432,444.695,431.7294,1.776963,443.8508
4/20/2019 5:43:25 PM,434.5272,1.147306,444.9569,431.8102,1.788674,443.7505
4/20/2019 5:43:26 PM,443.2622,0.009963989,445.9783,431.8214,1.793631,443.8278
4/20/2019 5:43:26 PM,442.7383,0.6946682,444.7206,431.7679,1.798618,443.7811
4/20/2019 5:43:27 PM,437.7715,1.374902,444.875,431.7521,1.799261,443.784
4/20/2019 5:43:27 PM,441.686,1.465979,445.8655,431.7511,1.801255,443.8551
4/20/2019 5:43:28 PM,441.8332,1.194048,444.695,431.7945,1.797788,443.851
4/20/2019 5:43:29 PM,443.8888,1.389912,445.5565,431.8281,1.798606,443.8214
4/20/2019 5:43:29 PM,438.7885,1.424288,445.9719,431.7525,1.782644,444.1156
4/20/2019 5:43:30 PM,433.8997,1.598026,444.875,431.95,1.77571,444.3174
4/20/2019 5:43:31 PM,435.1227,1.298013,444.7114,431.7736,1.776255,444.0761
4/20/2019 5:43:31 PM,434.391,1.566925,444.8983,431.919,1.772707,444.118
4/20/2019 5:43:32 PM,446.0916,0.6227983,447.915,432.0439,1.776545,444.0646
4/20/2019 5:43:32 PM,459.6995,0.242758,449.1929,431.9948,1.778095,443.8146
4/20/2019 5:43:33 PM,440.2302,1.019699,447.9285,432.0403,1.754454,444.4173
4/20/2019 5:43:34 PM,440.0571,1.019699,449.1817,432.1115,1.779365,445.4042
4/20/2019 5:43:35 PM,437.2188,1.298013,449.0563,431.9359,1.786425,446.1303
4/20/2019 5:43:35 PM,429.7017,0.09975936,453.0257,431.7089,1.764509,446.5595
4/20/2019 5:43:36 PM,428.125,1.130632,446.6942,431.6946,1.761713,446.4436
4/20/2019 5:43:36 PM,428.1399,1.298013,446.8443,431.746,1.762974,446.4841
4/20/2019 5:43:37 PM,425.1218,1.003876,447.7515,431.8362,1.756844,446.6627
4/20/2019 5:43:37 PM,427.39,1.444166,452.1496,431.9566,1.779228,446.9881
4/20/2019 5:43:38 PM,424.2083,0.5847548,467.1662,431.7019,1.77794,447.2701
4/20/2019 5:43:39 PM,431.7817,1.784701,452.1714,431.4132,1.801915,447.5871
4/20/2019 5:43:39 PM,431.7823,1.892629,452.1714,431.699,1.79814,447.9606
4/20/2019 5:43:40 PM,431.483,1.632588,452.1714,431.9891,1.798121,448.4415
4/20/2019 5:43:40 PM,431.7166,1.765562,452.1714,431.8588,1.799745,448.8158
4/20/2019 5:43:41 PM,432.0049,1.726673,452.1714,431.7083,1.803235,449.2312
4/20/2019 5:43:41 PM,432.1297,1.690099,452.1714,431.8718,1.796982,449.601
4/20/2019 5:43:42 PM,435.6436,1.45986,456.008,432.3288,1.797054,449.7526
4/20/2019 5:43:43 PM,458.1633,0.009963989,449.4055,432.3889,1.79035,449.6953
4/20/2019 5:43:43 PM,433.665,1.605965,448.4799,432.1682,1.797561,449.8888
4/20/2019 5:43:44 PM,432.1027,1.768727,448.4799,432.0146,1.814188,449.7492
4/20/2019 5:43:45 PM,432.0938,1.839933,448.4799,432.0433,1.816228,449.7132
4/20/2019 5:43:45 PM,432.1573,1.819768,448.4799,432.0912,1.809911,449.8345
4/20/2019 5:43:46 PM,432.4033,1.740919,448.4799,432.0749,1.801052,449.8386
4/20/2019 5:43:46 PM,433.7553,1.706538,448.4799,432.2022,1.802859,449.7667
4/20/2019 5:43:47 PM,481.2144,0.6895763,434.9836,432.1796,1.804843,449.7525
4/20/2019 5:43:47 PM,461.7016,1.848498,442.4382,432.1538,1.80531,449.7328
4/20/2019 5:43:48 PM,468.6752,1.78937,434.9825,432.1432,1.806101,449.7162
4/20/2019 5:43:49 PM,432.2583,1.651238,448.4799,432.0125,1.796747,449.607
4/20/2019 5:43:49 PM,431.9172,1.748733,448.4799,431.9557,1.803386,449.6175
4/20/2019 5:43:50 PM,431.9913,1.765107,448.4799,431.9679,1.805293,449.6275
4/20/2019 5:43:50 PM,432.5117,1.837032,448.4799,432.0279,1.8103,449.673
